City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,17-01-22 16:16,77.484,-69.3632,-13.29,57,2,8.99
1,Pevek,RU,17-01-22 16:12,69.7008,170.3133,-29.4,100,18,3.29
2,Brotas,BR,17-01-22 16:16,-22.2842,-48.1267,78.4,70,30,6.13
3,Ushuaia,AR,17-01-22 16:16,-54.8,-68.3,47.82,65,75,26.46
4,Mataura,NZ,17-01-22 16:16,-46.1927,168.8643,57.47,91,3,1.88
5,Iqaluit,CA,17-01-22 16:16,63.7506,-68.5145,-6.07,83,100,4
6,Muros,ES,17-01-22 16:16,42.7762,-9.0603,62.1,70,100,2.64
7,Puerto Ayora,EC,17-01-22 16:16,-0.7393,-90.3518,82.36,76,78,7.2
8,Labuan,MY,17-01-22 16:16,5.2767,115.2417,77.36,94,20,0
9,San Rafael,AR,17-01-22 16:16,-34.6177,-68.3301,72.18,29,0,20.71
10,Rikitea,PF,17-01-22 16:16,-23.1203,-134.9692,77.14,68,80,11.81
11,Punta Arenas,CL,17-01-22 16:16,-53.15,-70.9167,51.91,50,75,23.02
12,Los Llanos De Aridane,ES,17-01-22 16:16,28.6585,-17.9182,66.13,71,75,10
13,Longyearbyen,SJ,17-01-22 16:13,78.2186,15.6401,4.84,61,20,6.91
14,Balkanabat,TM,17-01-22 16:16,39.5108,54.3671,38.73,82,100,4.99
15,Synya,RU,17-01-22 16:16,65.3718,58.0387,-5.03,99,48,5.1
16,Querfurt,DE,17-01-22 16:16,51.3833,11.6,44.22,77,100,15.41
17,Tiksi,RU,17-01-22 16:16,71.6872,128.8694,-23.73,98,78,7.74
18,Rio Cuarto,AR,17-01-22 16:16,-33.1307,-64.3499,64.17,88,75,10.36
19,Siguiri,GN,17-01-22 16:16,11.6667,-9.5,94.93,11,2,6.98
20,King City,US,17-01-22 16:16,36.2127,-121.126,50.88,65,91,1.21
21,Torbay,CA,17-01-22 16:15,47.6666,-52.7314,29.57,70,20,9.22
22,Atuona,PF,17-01-22 16:16,-9.8,-139.0333,78.42,77,98,17.43
23,Georgetown,MY,17-01-22 16:16,5.4112,100.3354,82.33,72,40,5.75
24,Marawi,PH,17-01-22 16:16,7.9986,124.2928,64.65,97,99,0.96
25,Flin Flon,CA,17-01-22 16:15,54.7682,-101.865,-20.36,76,75,3.44
26,Pacific Grove,US,17-01-22 16:12,36.6177,-121.9166,57.63,76,100,1.01
27,Santiago,CL,17-01-22 16:16,-33.4569,-70.6483,71.17,50,75,2.3
28,Tuatapere,NZ,17-01-22 16:16,-46.1333,167.6833,57.81,92,27,4.43
29,Barrow,US,17-01-22 16:15,71.2906,-156.7887,-16.58,76,100,6.91
30,Eyl,SO,17-01-22 16:16,7.9803,49.8164,77.36,73,12,16.2
31,Liling,CN,17-01-22 16:16,27.6667,113.5,46.29,96,100,2.73
32,New Norfolk,AU,17-01-22 16:16,-42.7826,147.0587,56.7,57,41,1.01
33,Cape Town,ZA,17-01-22 16:14,-33.9258,18.4232,77.88,63,0,5.01
34,Tilichiki,RU,17-01-22 16:16,60.4667,166.1,-17.79,90,8,10.02
35,Tuktoyaktuk,CA,17-01-22 16:16,69.4541,-133.0374,-31,68,0,8.05
36,Waki,JP,17-01-22 16:16,34.0667,134.15,38.62,73,81,10.07
37,Bluff,NZ,17-01-22 16:17,-46.6,168.3333,57.79,87,12,3.31
38,Saint George,US,17-01-22 16:15,37.1041,-113.5841,36.07,80,0,0
39,Coquimbo,CL,17-01-22 16:16,-29.9533,-71.3436,69.53,60,0,13.8
40,Port Alfred,ZA,17-01-22 16:15,-33.5906,26.891,74.53,89,85,6.4
41,Lavrentiya,RU,17-01-22 16:12,65.5833,-171,-18.96,94,14,6.46
42,Busselton,AU,17-01-22 16:17,-33.65,115.3333,68.04,56,50,14.45
43,Khatanga,RU,17-01-22 16:18,71.9667,102.5,-16.19,93,11,8.68
44,Beringovskiy,RU,17-01-22 16:18,63.05,179.3167,-17.39,93,32,14.16
45,Hermanus,ZA,17-01-22 16:18,-34.4187,19.2345,81.81,66,10,12.41
46,Bredasdorp,ZA,17-01-22 16:18,-34.5322,20.0403,81.28,64,11,13.8
47,Carnarvon,AU,17-01-22 16:16,-24.8667,113.6333,77.07,78,10,17.27
