City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Punta Arenas,CL,-53.15,-70.9167,53.62,62,100,9.22,light intensity shower rain
80,Bom Jesus,BR,-9.0744,-44.3586,87.01,54,3,5.64,clear sky
81,Zabol,AF,32.25,67.25,28.76,83,92,16.6,overcast clouds
82,Severo-Kurilsk,RU,50.6789,156.125,27.82,84,100,11.07,light snow
83,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,67,66,8.72,broken clouds
84,Victoria,HK,22.2855,114.1577,66.38,89,100,1.01,overcast clouds
85,Dudinka,RU,69.4058,86.1778,13.62,94,100,22.39,snow
86,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.59,78,0,13.8,clear sky
87,Kodiak,US,57.79,-152.4072,36.91,93,75,9.22,broken clouds
88,Ziarat,PK,30.3823,67.7282,21.04,81,38,11.92,scattered clouds
89,Dingle,PH,10.9995,122.6711,74.25,91,100,7.34,overcast clouds
90,Hasaki,JP,35.7333,140.8333,37.8,44,100,5.23,overcast clouds
91,Saveh,IR,35.0213,50.3566,37.17,38,0,1.83,clear sky
92,Gondal,IN,21.9667,70.8,67.98,48,0,14.38,clear sky
93,Wewak,PG,-3.5534,143.6268,77.43,86,79,0.67,broken clouds
94,Kathu,TH,7.9178,98.3332,78.62,71,0,6.42,clear sky
95,Anadyr,RU,64.75,177.4833,-5.01,76,100,8.01,light snow
96,Aklavik,CA,68.2191,-135.0107,-6.77,77,100,10.36,light snow
97,Karaton,ID,-6.3424,106.1045,78.96,89,60,2.53,broken clouds
98,Avarua,CK,-21.2078,-159.775,75.25,94,40,14.97,moderate rain
99,Weligama,LK,5.9667,80.4167,75.33,76,45,3.44,scattered clouds
100,Fort Nelson,CA,58.8053,-122.7002,6.39,85,75,2.3,broken clouds
101,Dikson,RU,73.5069,80.5464,7.18,97,100,4.88,light snow
102,Taganak,PH,6.0833,118.3,78.94,76,99,7.47,overcast clouds
103,Grand Gaube,MU,-20.0064,57.6608,84.6,81,13,8.99,few clouds
104,Port Alfred,ZA,-33.5906,26.891,78.89,65,0,30.82,clear sky
105,Esmeraldas,BR,-19.7625,-44.3139,86.11,64,12,5.66,few clouds
106,Swakopmund,NA,-22.6833,14.5333,86.85,85,98,5.99,overcast clouds
107,Esil,KZ,51.9556,66.4042,8.55,88,100,6.24,overcast clouds
108,Mahebourg,MU,-20.4081,57.7,84.49,79,75,16.11,broken clouds
109,Cururupu,BR,-1.8283,-44.8683,90.59,50,26,5.17,scattered clouds
110,Yilan,TW,24.757,121.753,68.05,95,99,5.28,overcast clouds
